

   ---- Transcoding 'F:\QSP Tecnologia\Projetos\51- Kit de PIC Master\Esquemático & Layout\QSPIC Master.cmp' ----   Thu Jun 26 13:56:13 2014

D12   --> D100
D13   --> D101
D14   --> D102
D15   --> D103
D16   --> D104
D17   --> D105
D18   --> D106
D19   --> D107
D20   --> D108
D21   --> D109
D22   --> D110
D23   --> D111
D24   --> D112
D25   --> D113
D26   --> D114
D27   --> D115
D28   --> D116
D29   --> D117
D30   --> D118
D31   --> D119
D32   --> D120
D33   --> D121
D34   --> D122
D35   --> D123
D36   --> D124
D37   --> D125
D38   --> D126
D39   --> D127
-----------------------------------------------------------------


   ---- Transcoding 'F:\QSP Tecnologia\Projetos\51- Kit de PIC Master\Esquemático & Layout\QSPIC Master.slk' ----   Thu Jun 26 13:56:29 2014

D12   --> D128
D13   --> D129
D14   --> D130
D15   --> D131
D16   --> D132
D17   --> D133
D18   --> D134
D19   --> D135
D20   --> D136
D21   --> D137
D22   --> D138
D23   --> D139
D24   --> D140
D25   --> D141
D26   --> D142
D27   --> D143
D28   --> D144
D29   --> D145
D30   --> D146
D31   --> D147
D32   --> D148
D33   --> D149
D34   --> D150
D35   --> D151
D36   --> D152
D37   --> D153
D38   --> D154
D39   --> D155
D40   --> D156
D41   --> D157
D42   --> D158
D43   --> D159
D44   --> D160
D45   --> D161
-----------------------------------------------------------------


   ---- Transcoding 'F:\QSP Tecnologia\Projetos\51- Kit de PIC Master\Esquemático & Layout\QSPIC Master.sol' ----   Thu Jun 26 13:56:57 2014

D12   --> D162
D13   --> D163
D14   --> D164
D15   --> D165
D16   --> D166
D17   --> D167
D18   --> D168
D19   --> D169
D20   --> D170
D21   --> D171
D22   --> D172
D23   --> D173
D24   --> D174
D25   --> D175
D26   --> D176
D27   --> D177
D28   --> D178
D29   --> D179
D30   --> D180
D31   --> D181
D32   --> D182
D33   --> D183
D34   --> D184
D35   --> D185
D36   --> D186
D37   --> D187
D38   --> D188
D39   --> D189
D40   --> D190
-----------------------------------------------------------------


   ---- Transcoding 'F:\QSP Tecnologia\Projetos\51- Kit de PIC Master\Esquemático & Layout\QSPIC Master.tmk' ----   Thu Jun 26 13:57:19 2014

D18   --> D191
D19   --> D192
D20   --> D193
D21   --> D194
D22   --> D195
D23   --> D196
D24   --> D197
D25   --> D198
D26   --> D199
D27   --> D200
D28   --> D201
D29   --> D202
D30   --> D203
D31   --> D204
D32   --> D205
D33   --> D206
D34   --> D207
D35   --> D208
D36   --> D209
D37   --> D210
D38   --> D211
D39   --> D212
D40   --> D213
D41   --> D214
D42   --> D215
D43   --> D216
D44   --> D217
D45   --> D218
D46   --> D219
D47   --> D220
D48   --> D221
D49   --> D222
D50   --> D223
D51   --> D224
-----------------------------------------------------------------
